date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/8/10,13:17:54,22.9028132,120.2731156,0.15,-4,7,39,50,20,-997,-0.179596424,0.314571381,-0.150222719,0.045851145,-0.130964503,-0.012003675,41,170
2020/8/10,13:17:57,22.9028146,120.2731135,3.13,78,-122,-121,70,135,-1007,-0.02766037,0.098436356,-3.130026102,0.09294796,-0.793688118,-0.067701012,41,170
2020/8/10,13:18:00,22.9028127,120.2731172,10.004,-105,72,-23,20,110,-959,-0.236362934,0.47593689,-10.00441742,0.009329532,-0.697863877,-0.088326767,41,170
2020/8/10,13:18:03,22.9028102,120.2731114,14.545,136,21,-1094,98,203,-950,-0.519691467,-0.114004135,-14.54518223,0.064230673,-0.717537165,-0.186099529,41,170
2020/8/10,13:18:06,22.9027827,120.2730726,15.128,-5,-16,-53,-59,85,-949,-3.575077534,-4.09828949,-15.12835598,-0.166043043,-2.294486046,-0.051854648,41,170
2020/8/10,13:18:09,22.9027357,120.2730054,15.198,70,39,68,-54,41,-991,-8.813663483,-10.98910332,-15.19886875,-0.131499514,-2.264510632,-0.053745173,41,170
2020/8/10,13:18:12,22.9026895,120.2729387,15.129,-58,-43,-43,-238,122,-1043,-13.95083046,-17.82601738,-15.12935352,-0.124227807,-2.255189419,-0.041310407,41,170
2020/8/10,13:18:15,22.902642,120.2728679,15,112,101,29,-175,58,-1056,-19.24491882,-25.08718681,-15.00005436,-0.177753076,-2.276298046,-0.063028596,41,170
2020/8/10,13:18:18,22.9025917,120.2727972,14.946,53,-13,8,-167,68,-1021,-24.84013367,-32.33940125,-14.94623089,-0.126846001,-2.246302605,-0.07014551,41,170
2020/8/10,13:18:21,22.9025438,120.2727292,15.134,0,117,-50,-82,149,-1018,-30.17454147,-39.31217957,-15.13436604,-0.170470864,-2.212533951,-0.034959987,41,170
2020/8/10,13:18:24,22.9025162,120.2726887,15.204,-103,-39,-55,-137,31,-1021,-33.24682236,-43.45935822,-15.20456028,0.05318645,-2.349941254,-0.048787042,41,170
2020/8/10,13:18:27,22.9025349,120.2727326,15.074,-73,105,-989,29,-73,-1001,-31.16231155,-38.96442413,-15.07430935,0.005700038,1.340512991,0.049730562,41,170
2020/8/10,13:18:30,22.9025649,120.2727997,15.103,136,-152,-10,82,-37,-957,-27.82564926,-32.07736206,-15.10302448,0.035640087,1.187857866,0.030306829,41,170
2020/8/10,13:18:33,22.9025951,120.2728678,15.087,-27,6,199,-12,-56,-956,-24.46037674,-25.0965786,-15.08775806,-0.024962127,1.090065598,0.110435136,41,170
2020/8/10,13:18:36,22.9026103,120.2729453,15.083,-9,-20,212,-60,-49,-986,-22.76903915,-17.15220451,-15.08364201,-0.073028088,1.775135636,0.121154658,41,170
2020/8/10,13:18:39,22.9025876,120.2730294,14.928,-282,65,-29,-15,-122,-1028,-25.29328346,-8.528131485,-14.92889404,-0.081319675,1.853455544,0.072210513,41,170
2020/8/10,13:18:42,22.9025656,120.2731051,14.997,-89,13,4,-73,-61,-928,-27.7431221,-0.766025543,-14.99736881,-0.113012984,1.943814754,0.07478819,41,170
2020/8/10,13:18:45,22.9025441,120.2731759,15.097,-43,7,49,-76,-107,-1019,-30.13998795,6.498893738,-15.09734058,0.163796142,2.013165474,0.120654278,41,170
2020/8/10,13:18:48,22.9025707,120.2731718,15.14,8,-13,-367,9,4,-995,-27.17681885,6.07424736,-15.14058208,-0.039778959,-0.303543568,-0.068739362,41,170
2020/8/10,13:18:51,22.902638,120.273154,14.987,17,14,61,49,74,-977,-19.68425751,4.24889183,-14.98746586,-0.019692682,-0.157665759,-0.028272273,41,170
2020/8/10,13:18:54,22.902717,120.2731382,14.737,146,40,13,94,-3,-970,-10.88899231,2.62874794,-14.73729992,0.022426326,-0.196281433,-0.044127613,41,170
2020/8/10,13:18:57,22.9027931,120.2731215,14.745,12,293,-60,58,94,-1005,-2.426618099,0.9153862,-14.74573135,0.25465402,-0.120790295,0.006905464,41,170
2020/8/10,13:19:00,22.9028034,120.2731206,11.719,-92,146,7,153,-20,-975,-1.278523922,0.824794769,-11.71990013,0.12318895,-0.104492277,-0.016751828,41,170
2020/8/10,13:19:03,22.9028041,120.2731211,9.058,23,66,-71,136,44,-1015,-1.197798252,0.87556076,-9.058473587,0.107433803,-0.149385884,-0.012023496,41,170
2020/8/10,13:19:06,22.9028031,120.2731203,7.331,10,-18,-27,106,41,-1015,-1.30262804,0.790628433,-7.331287861,0.089935362,-0.105897151,-0.003374927,41,170
2020/8/10,13:19:09,22.9028047,120.2731215,5.714,40,-86,46,15,1,-1006,-1.132316589,0.918992996,-5.714999199,0.082685038,-0.176954105,-0.0231387,41,170
2020/8/10,13:19:13,22.9028056,120.2731195,4.469,-28,-140,25,111,40,-992,-1.029619694,0.715063095,-4.469162941,0.109282501,-0.142599538,0.035317339,41,170
2020/8/10,13:19:16,22.9028035,120.2731233,2.925,-36,64,48,125,35,-976,-1.268707752,1.09815979,-2.925744057,0.065678589,-0.126210541,-0.062954366,41,170
2020/8/10,13:19:19,22.9028052,120.2731186,1.294,-148,17,-53,33,62,-955,-1.072412491,0.623163223,-1.294422865,0.090820476,-0.148534238,0.027606541,41,170
2020/8/10,13:19:22,22.902805,120.2731187,0.443,1,-3,-10,62,-41,-997,-1.091950893,0.628076553,-0.443521798,0.059384655,-0.113329642,0.038294315,41,170
