date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/8/10,13:15:31,22.9028039,120.2731195,14.729,-112,-128,-1198,-37,166,-917,-0.310357571,-0.445476532,-14.72907352,-0.053170875,-1.113546848,-0.224179551,41,170
2020/8/10,13:15:34,22.9027732,120.2730701,15.18,-59,44,-60,-181,-12,-1011,-3.72856617,-5.510965347,-15.18058777,-0.183823973,-2.329281807,-0.068877935,41,170
2020/8/10,13:15:37,22.9027268,120.2730038,15.272,-19,26,-12,-21,127,-1002,-8.887810707,-12.307724,-15.27278328,-0.125594333,-2.244184494,-0.004302464,41,170
2020/8/10,13:15:40,22.9026851,120.2729401,15.164,39,127,-13,-200,-7,-976,-13.52595997,-18.84063721,-15.16474152,-0.139873788,-2.249334812,-0.021514174,41,170
2020/8/10,13:15:43,22.9026728,120.2729102,14.952,141,-108,1288,-102,44,-967,-14.89502621,-21.91313934,-14.95245075,-0.091711529,-1.637280583,0.029401479,41,170
2020/8/10,13:15:46,22.9027276,120.2728997,15.001,175,-10,39,-34,41,-1050,-8.804368019,-22.98576736,-15.00174618,-0.026328832,-0.339601606,-0.100853935,41,170
2020/8/10,13:15:49,22.9027832,120.2728843,15.084,64,-25,-279,-25,37,-986,-2.611646652,-24.56660843,-15.08438683,0.120799772,-0.266441643,-0.090764455,41,170
2020/8/10,13:15:52,22.9027722,120.2728631,15.125,270,103,-869,-88,54,-1043,-3.829973221,-26.73708344,-15.12553406,-0.176350996,-2.183764219,-0.056434847,41,170
2020/8/10,13:15:55,22.9027328,120.2728093,15.146,0,-105,59,-155,93,-970,-8.220565796,-32.25499725,-15.14616394,-0.127172098,-2.309646845,-0.048300274,41,170
2020/8/10,13:15:58,22.9026817,120.2727441,15.133,-107,-45,-85,-133,48,-1000,-13.90515995,-38.9382515,-15.13389206,-0.140812993,-2.349766493,-0.077394553,41,170
2020/8/10,13:16:01,22.9026282,120.2726809,15.285,-257,30,-330,-43,53,-949,-19.86481094,-45.41928482,-15.28599358,-0.042232808,-2.340125322,-0.065721795,41,170
2020/8/10,13:16:04,22.9025594,120.2726624,15.082,4,-58,-74,-63,9,-979,-27.51823807,-47.31496048,-15.08214092,-0.114606529,3.055256844,-0.03624925,41,170
2020/8/10,13:16:07,22.9024824,120.2726739,14.96,45,12,-13,-141,-40,-1007,-36.10016632,-46.14299393,-14.96023846,-0.106014349,3.012757063,-0.012756296,41,170
2020/8/10,13:16:10,22.9024123,120.2726898,15.052,-152,10,-854,-37,21,-998,-43.89905548,-44.50654221,-15.0523777,-0.020219769,2.42206645,-0.126209438,41,170
2020/8/10,13:16:13,22.9024111,120.2727479,14.854,-46,31,-77,-51,18,-993,-44.03413391,-38.55183792,-14.85457706,-0.03844209,1.510617137,0.041890703,41,170
2020/8/10,13:16:16,22.9024202,120.2728271,15.012,-10,43,-5,-18,-8,-988,-43.02062225,-30.43069458,-15.01262188,0.001552195,1.363357544,0.025986515,41,170
2020/8/10,13:16:19,22.9024331,120.2729142,15.034,53,-14,25,-47,-5,-1006,-41.58683777,-21.49511719,-15.0343008,0.006364709,1.413269997,0.03349857,41,170
2020/8/10,13:16:22,22.9024465,120.2729987,15.186,19,208,-131,42,-45,-971,-40.08986282,-12.8315773,-15.18665695,0.095733993,1.435323238,0.025927318,41,170
2020/8/10,13:16:25,22.9024592,120.2730839,15.228,-11,73,86,55,-43,-1011,-38.67730331,-4.093332291,-15.22860146,0.069253609,1.510278225,0.069956109,41,170
2020/8/10,13:16:28,22.9024708,120.2731636,15.026,196,196,-497,1,-64,-1071,-37.38842392,4.07926178,-15.02666187,0.045273907,1.155159235,-0.067137703,41,170
2020/8/10,13:16:31,22.902515,120.2731813,14.873,30,103,-28,76,51,-964,-32.47029114,5.886131287,-14.87341595,-0.004952169,-0.244759843,-0.061823383,41,170
2020/8/10,13:16:34,22.9025921,120.2731618,14.883,0,57,0,47,47,-983,-23.88512802,3.892719269,-14.88396835,0.045303497,-0.088607751,-0.021804528,41,170
2020/8/10,13:16:37,22.9026664,120.2731496,14.699,-113,-73,-19,-10,61,-987,-15.6176939,2.640815735,-14.69980812,0.034658715,-0.239011735,-0.066610925,41,170
2020/8/10,13:16:40,22.9027391,120.2731323,14.686,-44,-36,22,98,33,-956,-7.524270058,0.86350441,-14.68635845,0.036804557,-0.160073504,-0.021939762,41,170
2020/8/10,13:16:43,22.9027986,120.2731217,14.551,60,-59,-5,43,18,-902,-0.897697449,-0.224683762,-14.55185699,0.16355525,-0.101749487,-0.029085977,41,170
